Time	EEG_Fp1	EEG_Fp2	PPG
오후 1:49:26.738 	0.000035	-0.000014	0.000912
오후 1:49:26.738 	0.000034	-0.000023	0.000912
오후 1:49:26.766 	0.000012	-0.000033	0.000912
오후 1:49:26.766 	0.000013	-0.000034	0.000912
오후 1:49:26.768 	0.000015	-0.000030	0.000912
오후 1:49:26.768 	0.000013	-0.000032	0.000912
오후 1:49:26.770 	0.000023	-0.000024	0.000912
오후 1:49:26.770 	0.000020	-0.000030	0.000912
오후 1:49:26.771 	0.000031	-0.000018	0.000912
오후 1:49:26.771 	0.000024	-0.000026	0.000912
오후 1:49:26.773 	0.000039	-0.000018	0.000912
오후 1:49:26.773 	0.000019	-0.000027	0.000912
오후 1:49:26.775 	0.000028	-0.000010	0.000912
오후 1:49:26.775 	0.000052	0.000011	0.000912
오후 1:49:26.795 	0.000047	0.000001	0.000912
오후 1:49:26.795 	-0.000007	-0.000047	0.000912
오후 1:49:26.798 	0.000015	-0.000015	0.000912
오후 1:49:26.798 	0.000040	-0.000008	0.000912
오후 1:49:26.800 	0.000028	-0.000019	0.000912
오후 1:49:26.800 	0.000014	-0.000034	0.000912
오후 1:49:26.803 	0.000035	-0.000010	0.000912
오후 1:49:26.803 	0.000036	-0.000003	0.000912
오후 1:49:26.816 	0.000056	0.000008	0.000912
오후 1:49:26.816 	0.000028	-0.000013	0.000912
오후 1:49:26.833 	0.000009	-0.000025	0.000912
오후 1:49:26.833 	0.000056	0.000020	0.000912
오후 1:49:26.865 	0.000044	0.000001	0.000912
오후 1:49:26.865 	0.000042	0.000000	0.000912
오후 1:49:26.868 	0.000024	-0.000001	0.000912
오후 1:49:26.868 	0.000058	0.000029	0.000912
오후 1:49:26.925 	0.000052	0.000002	0.000912
오후 1:49:26.925 	0.000051	0.000012	0.000912
오후 1:49:26.931 	0.000038	-0.000006	0.000912
오후 1:49:26.931 	0.000026	-0.000016	0.000912
오후 1:49:26.933 	0.000036	-0.000007	0.000912
오후 1:49:26.933 	0.000036	-0.000003	0.000912
오후 1:49:26.955 	0.000010	-0.000009	0.000912
